Date,Time,Venue,Capacity,Total Invigilators,Lead Invigilator,Special_Requirement,Special Skill Invigilators,Normal Invigilators,Backup Invigilators
2024-05-30,PM,EC Stoner Cluster (6.68),43,1,Angela Miller,no,[],[],"['Christian Carrillo', 'Shane Stafford', 'Michelle Johnson']"
2024-05-30,PM,EC Stoner SR (7.78),8,2,Jacqueline Fields,yes,['Ann Stewart'],[],['Tami Young']
2024-05-30,PM,EC Stoner SR (7.79),14,4,Kimberly York,yes,"['David Fuentes', 'Kathryn Smith', 'Patricia George']",[],['Kimberly Campbell']
2024-05-30,PM,Emmanuel Centre SR 01,1,1,Michael Dougherty,yes,[],[],['Michelle Gonzales']
2024-05-30,PM,Emmanuel Centre SR 02,1,1,Yvonne Wiggins MD,yes,[],[],['Claudia Santos']
2024-05-30,PM,Emmanuel Centre SR 03,1,1,Tami Young,yes,[],[],['Jacqueline Fields']
2024-05-30,PM,Emmanuel Centre SR 04,1,1,Tyler Fletcher,yes,[],[],['Jennifer Galvan']
2024-05-30,PM,Emmanuel Centre SR 05,1,1,Richard Freeman,yes,[],[],['Robert Bradshaw']
2024-05-30,PM,English SR 1 (LG.04) House 10 Cavendish Road,5,1,Michael Mills,yes,[],[],['Timothy Jones']
2024-05-30,PM,English SR 2 (LG.06) House 10 Cavendish Road,4,1,Amanda Hammond,yes,[],[],['Timothy Thompson']
2024-05-30,PM,English SR 3 (LG.01) House 10 Cavendish Road,3,1,Laura Ferguson,yes,[],[],['Robert Hart']
2024-05-30,PM,English SR 4 (LG.02) House 10 Cavendish Road,1,1,Jason Roth,yes,[],[],['Elijah Phillips']
2024-05-30,PM,Fourman O and P Cluster (8.49),84,2,Joseph Vance,no,[],['Bridget Taylor'],"['Joshua Rowland', 'Shannon Myers', 'Stephen Nunez']"
2024-05-30,PM,Great Hall,140,4,Andrew Jenkins,no,[],"['Barbara Cunningham', 'Donna Taylor', 'Mark Hughes']","['David Patel', 'Louis Whitehead', 'Lindsey Stephens']"
2024-05-30,PM,Irene Manton North Cluster (7.96),14,1,Timothy Martin,no,[],[],['Mark Davidson MD']
2024-05-30,PM,Irene Manton South Cluster (7.90),12,1,Joshua Mills,no,[],[],['Kelly Garcia']
2024-05-30,PM,Michael Sadler SR (1.19),1,1,Hayden Aguilar,yes,[],[],['Kerri Sanchez']
2024-05-30,PM,Michael Sadler SR (1.37),1,1,David Adams,yes,[],[],['Luis Robertson']
2024-05-30,PM,Michael Sadler SR (LG.10),29,1,Carmen Sanford,no,[],[],['Christopher Johnson']
2024-05-30,PM,Michael Sadler SR (LG.15),23,1,Justin Davis,no,[],[],['Susan Bates']
2024-05-30,PM,Newlyn SR (1.01),68,2,Kenneth Hicks,no,[],['Samuel Fields'],"['Nicole Cohen', 'Cynthia Johnson', 'Tracey Armstrong']"
2024-05-30,PM,Newlyn SR (1.07),50,1,Carol Abbott,no,[],[],"['Kathy Santos', 'Sharon Johnston', 'Laura Silva']"
2024-05-30,PM,Newlyn SR (GR.01),68,2,Nicole Cohen,no,[],['Michelle Wells'],"['John Owens', 'Kelli Sims', 'Kathleen Jackson']"
2024-05-30,PM,Newlyn SR (GR.07),68,2,Jennifer King,no,[],['Mr. Bill Hoffman MD'],"['Raymond Young', 'Michael Maxwell', 'Rebecca Foster']"
2024-05-30,PM,Psychology Cluster (1.43),4,1,Miranda Tyrell,no,[],[],['Joshua Mills']
2024-05-30,PM,Psychology Cluster (1.45),10,1,Mary Wilson,no,[],[],['Elaine Murray']
2024-05-30,PM,Room UG09 (Great Hall Building),95,3,Laura Robertson,no,[],"['Erika Spencer', 'Travis Clark']","['Stephanie Ford', 'Robin Martinez', 'Jason Price']"
2024-05-30,PM,Social Sciences SR (10.05),6,2,Sarah Bartlett,yes,['Alyssa Lowe'],[],['Juan Becker']
2024-05-30,PM,Social Sciences SR (10.06),6,2,Amy Malone,yes,['Justin Jennings'],[],['John Howell']
2024-05-30,PM,Social Sciences SR (10.07),10,3,Corey Price,yes,"['Jamie Nguyen', 'Richard Pittman']",[],['Jack Delacruz']
2024-05-30,PM,Social Sciences SR (10.10),9,3,Anne Mathews,yes,"['Michael Walter', 'James Hernandez']",[],['Meagan Hernandez']
2024-05-30,PM,Textiles Computer Cluster (G.34),7,2,Ian Roberts,yes,['Amanda Rasmussen'],[],['Travis Clark']
2024-05-30,PM,The Edge (Sports Hall 1),396,13,Jessica Armstrong,no,[],"['Yolanda Diaz', 'Tracy Jones', 'Marco Cordova', 'Nicholas Gilbert', 'Christopher Henderson', 'Cameron Smith', 'Donald Howard', 'Terri Young', 'Lucas Jones', 'Sheila Johnson', 'Kelli Sims', 'Connor Taylor']","['Kelly Perez', 'Katherine Wilson', 'Krystal Galvan']"
2024-05-30,PM,The Edge (Sports Hall 2),210,7,Richard Smith,no,[],"['Brady Clark', 'Vanessa Reid', 'Olivia Patrick', 'Amanda Thompson MD', 'Tyrone Stone', 'Jason Thompson']","['Lucas Jones', 'Frank Robinson', 'Gregory Morton']"
2024-05-31,AM,Chemical and Process Engineering Cluster (GR.06),55,1,Rebecca Clark,no,[],[],"['Kayla Bishop', 'Jennifer Lopez', 'Charles Thompson']"
2024-05-31,AM,Cohen Computer Cluster A&B (1.40),92,3,George Adkins,no,[],"['Amanda Navarro', 'Colleen Smith']","['Amanda Jenkins', 'Denise Stanley', 'Sheila Johnson']"
2024-05-31,AM,EC Stoner Cluster (6.61),5,1,Linda Harmon,no,[],[],['Ashley Harris']
2024-05-31,AM,EC Stoner Cluster (6.68),39,1,Tracy Schmidt,no,[],[],"['Leah Parker', 'Laura Reed', 'Michael Grant']"
2024-05-31,AM,EC Stoner SR (7.78),12,4,Andrew West,yes,"['Lisa Garcia', 'Luis Brown', 'Joseph Myers']",[],['Brittany Perez']
2024-05-31,AM,EC Stoner SR (7.79),17,5,William Michael,yes,"['Angela Williams', 'Caleb Guzman', 'Joseph Maldonado', 'Lauren King']",[],['Michael Hampton']
2024-05-31,AM,Emmanuel Centre SR 01,1,1,Amanda Sharp,yes,[],[],['Nathaniel House']
2024-05-31,AM,Emmanuel Centre SR 02,1,1,Michael Moore,yes,[],[],['Tracy Schmidt']
2024-05-31,AM,Emmanuel Centre SR 03,1,1,Juan Becker,yes,[],[],['Darrell Ross']
2024-05-31,AM,Emmanuel Centre SR 10,1,1,Joseph Jones,yes,[],[],['Kevin Vargas']
2024-05-31,AM,English SR 1 (LG.04) House 10 Cavendish Road,8,2,Shelly Williamson,yes,['Timothy Johnson'],[],['Jeffrey Garcia']
2024-05-31,AM,English SR 3 (LG.01) House 10 Cavendish Road,5,1,William Mcclure,yes,[],[],['Kevin Norris']
2024-05-31,AM,Fourman O and P Cluster (8.49),58,1,Brandon Dominguez,no,[],[],"['Henry Burns', 'Gene Cross', 'Robert Torres']"
2024-05-31,AM,Great Hall,113,3,Amber Buchanan,no,[],"['Jennifer Leonard', 'Diane Duncan']","['Aaron Patterson', 'Raymond Washington', 'Ashley Martinez']"
2024-05-31,AM,Michael Sadler SR (1.19),1,1,Alexandra Dennis,yes,[],[],['Heather Ross']
2024-05-31,AM,Michael Sadler SR (1.37),1,1,Mary Serrano,yes,[],[],['Dana Goodwin']
2024-05-31,AM,Michael Sadler SR (2.01),1,1,Gina Rollins,yes,[],[],['Thomas Roberts']
2024-05-31,AM,Michael Sadler SR (B.37),6,2,Kyle Watkins,yes,['Jordan Snow'],[],['Joseph Maldonado']
2024-05-31,AM,Michael Sadler SR (B.49),4,1,Dustin Barry,yes,[],[],['Steven Reid']
2024-05-31,AM,Michael Sadler SR (LG.10),61,2,Kayla Bishop,no,[],['Michael Peterson'],"['Juan Smith', 'Kimberly Hurst', 'Jordan Zuniga']"
2024-05-31,AM,Michael Sadler World Cinema Rm (B.36),8,2,Keith Shepherd,yes,['Christine Newman'],[],['Kathryn Moore']
2024-05-31,AM,Newlyn SR (GR.01),68,2,Elizabeth Fox,no,[],['Michelle Gonzales'],"['Nicholas Gilbert', 'Christian Atkinson', 'Marisa Hall']"
2024-05-31,AM,Newlyn SR (GR.07),33,1,Brittany Jackson,no,[],[],"['Paula Woods', 'Sonya Jenkins', 'Willie Flores']"
2024-05-31,AM,Psychology Cluster (1.43),13,1,Mercedes Powell,no,[],[],['Sean Frank']
2024-05-31,AM,Psychology Cluster (1.45),34,1,Lindsey Stephens,no,[],[],"['Lisa Serrano', 'Amanda Phillips', 'Nicole Johnson']"
2024-05-31,AM,Room UG09 (Great Hall Building),87,2,Katie Olson,no,[],['Candace Hall'],"['Jennifer Holder', 'Edward Goodman', 'David Brooks']"
2024-05-31,AM,Social Sciences SR (10.07),10,3,Jessica Dean,yes,"['Chelsey Alvarado', 'Linda Hanson']",[],['Joseph Nichols']
2024-05-31,AM,Social Sciences SR (10.10),10,3,Christian Hayes,yes,"['Robert Berg', 'Mia Burnett']",[],['Alyssa Young']
2024-05-31,AM,Textiles Computer Cluster (G.34),3,1,David Williams,yes,[],[],['Annette Lewis']
2024-05-31,AM,The Edge (Sports Hall 1),450,15,Janet Joseph,no,[],"['Michael Jackson', 'Dustin Kramer', 'Robert Martin', 'Theresa Mitchell', 'Lisa Richards', 'Joseph Perry', 'Amber Blevins', 'Patricia Buck MD', 'Craig Harris', 'Patrick Hood', 'Kevin Franklin', 'Danielle Green', 'Jon Johnson', 'Cynthia Lozano']","['Kyle Washington', 'Timothy Lee', 'Dr. Edward Adams']"
2024-05-31,AM,The Edge (Sports Hall 2),283,9,Mark Davidson MD,no,[],"['Kim Levy', 'Karen Nelson', 'James Hoffman', 'Jessica Macdonald', 'Jason Coleman', 'Joseph Montgomery', 'Lisa Cline', 'Joseph Cruz']","['Robert Banks', 'Mrs. Lisa King', 'Lynn Smith']"
2024-05-31,PM,Chemistry West Block SR (1.80),10,1,Willie Baker,no,[],[],['Benjamin Shepard']
2024-05-31,PM,Chemistry West Block SR (G.75),10,3,Nicholas Pennington,yes,"['Peter Sanchez', 'Alexis Bernard']",[],['Elizabeth Welch']
2024-05-31,PM,Conference Gallery,30,1,Christopher Johnson,no,[],[],"['Michelle Carson', 'Nicole King', 'Shannon Randolph']"
2024-05-31,PM,EC Stoner SR (7.70),8,2,Molly Sherman,yes,['Jennifer Jones'],[],['Lori Martin']
2024-05-31,PM,EC Stoner SR (7.78),11,3,Lori Camacho,yes,"['Dana Wilkinson', 'Manuel Nichols']",[],['Andrea Taylor']
2024-05-31,PM,EC Stoner SR (7.79),10,3,Gwendolyn Watkins,yes,"['Richard Palmer', 'Anita Berry']",[],['Marvin Caldwell']
2024-05-31,PM,Emmanuel Centre SR 01,1,1,Michael Vargas,yes,[],[],['Andrew Jenkins']
2024-05-31,PM,Emmanuel Centre SR 02,1,1,Natalie Davis,yes,[],[],['Manuel Nichols']
2024-05-31,PM,Emmanuel Centre SR 10,5,1,Miguel Barton,yes,[],[],['Nathan Taylor']
2024-05-31,PM,Emmanuel Centre SR 11,7,2,Hayley Murphy,yes,['Tyler Kim'],[],['Sarah Holt']
2024-05-31,PM,English SR 3 (LG.01) House 10 Cavendish Road,4,1,Frank Rosario,yes,[],[],['Amanda Thompson MD']
2024-05-31,PM,Great Hall,119,3,Edward Taylor,no,[],"['Brian Miller', 'Ryan Stewart']","['Melissa Payne', 'Ian Johnson', 'Danielle Adams']"
2024-05-31,PM,Irene Manton North Cluster (7.96),2,1,Brian Robinson,no,[],[],['Cheryl Bradley']
2024-05-31,PM,Irene Manton South Cluster (7.90),2,1,Stephanie Hicks,no,[],[],['Edward Taylor']
2024-05-31,PM,Martin Thomas Translation Lab 1 (1.30),7,1,Mark Greene,no,[],[],['Caroline Garcia']
2024-05-31,PM,Martin Thomas Translation Lab 2 (1.30a),6,1,Tony Miranda,no,[],[],['Julie Bonilla']
2024-05-31,PM,Michael Sadler SR (1.19),1,1,Eduardo Scott,yes,[],[],['Thomas Velez']
2024-05-31,PM,Michael Sadler SR (1.37),1,1,Kathleen Miller,yes,[],[],['Lauren White']
2024-05-31,PM,Michael Sadler SR (2.01),1,1,Crystal Rodriguez,yes,[],[],['Samantha Rose DDS']
2024-05-31,PM,Michael Sadler SR (B.37),5,1,Alan Williams,yes,[],[],['Willie Baker']
2024-05-31,PM,Michael Sadler SR (B.49),2,1,Bradley Lyons,yes,[],[],['Shane Hanna']
2024-05-31,PM,Michael Sadler SR (LG.15),2,1,Jennifer Christina,no,[],[],['Andrew Simmons']
2024-05-31,PM,Michael Sadler World Cinema Rm (B.36),5,1,Hannah Young,yes,[],[],['April Thomas']
2024-05-31,PM,Psychology Cluster (1.43),7,1,Peggy Alvarez,no,[],[],['Jeremy Robinson']
2024-05-31,PM,Psychology Cluster (1.45),10,1,Laura Ford,no,[],[],['Katelyn Dennis']
2024-05-31,PM,Social Sciences SR (10.05),9,3,Sydney Jefferson,yes,"['Justin Lester', 'Michelle Delgado']",[],['Justin Mcpherson']
2024-05-31,PM,Social Sciences SR (10.10),4,1,Gary Phillips,yes,[],[],['James Hernandez']
2024-05-31,PM,Social Sciences SR (12.38),6,2,Joe Anderson,yes,['Nicole Marshall'],[],['Rebecca Warren']
2024-05-31,PM,Textiles Computer Cluster (G.34),3,1,David Hughes,yes,[],[],['Jason Roth']
2024-05-31,PM,The Edge (Sports Hall 1),532,17,Jason Baker,no,[],"['Jennifer Cooper', 'Rebecca Walsh', 'Vanessa Aguilar', 'April Rodriguez', 'Julie Hayes', 'Gabriella Flores', 'Denise Stanley', 'Alexandra Harper', 'Matthew Perez', 'Debra Mendoza', 'Jack West', 'Nathan Brennan', 'Richard Anderson', 'Nicole Mahoney', 'Miranda Holland', 'Emma Carter']","['Christina Williams', 'Thomas Johnson', 'Andrea Christensen']"
2024-05-31,PM,The Edge (Sports Hall 2),291,9,Mr. Daniel Taylor MD,no,[],"['Elizabeth Huynh', 'Diana Harris', 'Nicholas Miller', 'Jennifer Johnson', 'Matthew Berry', 'Michael Wall', 'Nicholas Wilson', 'Jake Williamson']","['Daniel Richards', 'William Riley DDS', 'Richard Joyce']"
2024-06-03,AM,Chemistry West Block SR (1.65),8,2,Corey Johnston,yes,['Felicia Rose'],[],['Jennifer Leonard']
2024-06-03,AM,Cohen Computer Cluster A&B (1.40),93,3,Travis Sullivan,no,[],"['Mary White', 'Jason Larson']","['Eric Gomez', 'Mark Johnson', 'Cameron Rich']"
2024-06-03,AM,EC Stoner Cluster (6.68),43,1,Amy Sherman,no,[],[],"['Lori Camacho', 'Laura Smith', 'Mia Collins']"
2024-06-03,AM,EC Stoner SR (7.70),13,4,Danny Wilson,yes,"['Michael Lane', 'Jennifer Sheppard', 'Kendra Hanson']",[],['Marie Pratt']
2024-06-03,AM,EC Stoner SR (7.78),15,5,Meghan Morrison,yes,"['Kathy Santos', 'Nicole Greer', 'Barbara Nelson', 'Ann Hays']",[],['Ann Stewart']
2024-06-03,AM,Emmanuel Centre SR 01,1,1,Steven Garcia,yes,[],[],['Marisa Thompson']
2024-06-03,AM,Emmanuel Centre SR 02,1,1,Abigail Sims,yes,[],[],['Jennifer Campbell']
2024-06-03,AM,Emmanuel Centre SR 03,1,1,Janice Barnes,yes,[],[],['William Mcclure']
2024-06-03,AM,Emmanuel Centre SR 10,7,2,Matthew Fleming,yes,['Chad Graves'],[],['Marco Cordova']
2024-06-03,AM,English SR 1 (LG.04) House 10 Cavendish Road,5,1,Thomas Hunter,yes,[],[],['Lisa Lin']
2024-06-03,AM,English SR 3 (LG.01) House 10 Cavendish Road,4,1,Jerry Lewis,yes,[],[],['Michael Phillips']
2024-06-03,AM,English SR 7 (LG.05) House 5 Cavendish Road,3,1,Brenda Hendrix,yes,[],[],['Ellen Nunez']
2024-06-03,AM,Fourman O and P Cluster (8.49),90,3,Carlos Woods,no,[],"['Melinda Santana', 'Pamela Lyons']","['Ryan Stewart', 'Jacqueline Shaw', 'Hector Wilson']"
2024-06-03,AM,Great Hall,147,4,Stephen White,no,[],"['Phillip Perry', 'Eugene Perez', 'Edward Kennedy']","['Christopher Thompson', 'Brandon Dominguez', 'Robert Harrison']"
2024-06-03,AM,Michael Sadler SR (1.19),1,1,Tiffany Davis,yes,[],[],['Fred Wright']
2024-06-03,AM,Michael Sadler SR (B.49),3,1,Crystal Burns,yes,[],[],['Sarah George']
2024-06-03,AM,Michael Sadler SR (LG.10),49,1,Heather Duran DVM,no,[],[],"['Lee Brooks', 'Ricky Campbell', 'Joseph Vance']"
2024-06-03,AM,Michael Sadler SR (LG.15),18,1,Michelle Montoya,no,[],[],['Stacy Osborne']
2024-06-03,AM,Psychology Cluster (1.43),8,1,Edward Andrade,no,[],[],['Michael Wall']
2024-06-03,AM,Psychology Cluster (1.45),27,1,Nicolas Wagner,no,[],[],['Valerie Jackson']
2024-06-03,AM,Room UG09 (Great Hall Building),84,2,Ray Santos,no,[],['Jill Lopez'],"['Ronald Benjamin', 'Jennifer Simpson', 'Stephen Wells']"
2024-06-03,AM,Social Sciences SR (10.05),11,3,Richard Howell,yes,"['Christina Anderson', 'Sarah Johnson']",[],['Jordan Simon']
2024-06-03,AM,Social Sciences SR (10.10),9,3,Michele Velasquez,yes,"['Jamie Jordan', 'Jennifer Robles']",[],['Susan Mason']
2024-06-03,AM,Social Sciences SR (12.38),13,4,Bruce Adkins,yes,"['Sarah Holloway', 'Sabrina Cruz', 'Sonya Jenkins']",[],['Taylor Leon']
2024-06-03,AM,Textiles Computer Cluster (G.34),6,2,Cynthia Johnson,yes,['Jacob Davis'],[],['Dawn Mccormick']
2024-06-03,AM,The Edge (Sports Hall 1),529,17,Amanda Bishop,no,[],"['Elizabeth Jones', 'Eric Serrano', 'Joshua Rowland', 'Andrea Hughes', 'Joshua Holt', 'Sean Powell', 'Katherine Young', 'Barbara White', 'Tiffany Liu', 'Eric Gomez', 'Madison Crawford', 'Kelly Ramos', 'Raymond Hernandez', 'William Shepherd', 'Stephanie Spencer', 'Christopher Wilson']","['Dominique Mccoy', 'Melissa Johnson', 'Justin James']"
2024-06-03,AM,The Edge (Sports Hall 2),283,9,Scott Dunn,no,[],"['Casey Williams', 'Erin Collins', 'Lynn Mckenzie', 'Lisa Landry', 'Kathleen Ford', 'Kimberly Vargas', 'Tammy Santos', 'Jessica Giles']","['Eric Day', 'Rebecca Wall', 'Amber Dudley']"
2024-06-03,PM,Emmanuel Centre SR 04,1,1,Alexis Flores,yes,[],[],['Sandra Jenkins']
2024-06-03,PM,English SR 3 (LG.01) House 10 Cavendish Road,1,1,Diane Carter,yes,[],[],['Patrick Dickerson']
2024-06-03,PM,Psychology Cluster (1.45),1,1,Mrs. Katrina Scott,no,[],[],['Casey Williams']
2024-06-03,PM,Chemistry West Block SR (1.65),8,2,Benjamin Shepard,yes,['Lisa Banks'],[],['Tammy Jacobs']
2024-06-03,PM,Chemistry West Block SR (G.75),7,2,Alyssa Wallace,yes,['Margaret White'],[],['David Munoz']
2024-06-03,PM,Cohen Computer Cluster A&B (1.40),74,2,Krystal Miller,no,[],['Jared Thomas'],"['Mark Jones', 'Jacob Zimmerman', 'Tina Henry']"
2024-06-03,PM,EC Stoner Cluster (6.61),36,1,Gregory Mcclain,no,[],[],"['Nicholas Bryant', 'Benjamin Lynch', 'Mrs. Emily Andrews']"
2024-06-03,PM,EC Stoner Cluster (6.68),1,1,Chloe Parsons,no,[],[],['Samantha Hart']
2024-06-03,PM,Emmanuel Centre SR 01,1,1,Steven Robertson,yes,[],[],['Nancy Shaw']
2024-06-03,PM,Emmanuel Centre SR 03,1,1,Sierra Decker,yes,[],[],['Cristian Brooks']
2024-06-03,PM,Emmanuel Centre SR 04,1,1,Steven Castro,yes,[],[],['Shannon Cook']
2024-06-03,PM,Emmanuel Centre SR 10,6,2,Ryan Hart,yes,['Andrew Cervantes'],[],['Dr. Cynthia Coleman']
2024-06-03,PM,English SR 2 (LG.06) House 10 Cavendish Road,5,1,Lisa Murphy,yes,[],[],['Cole Ramsey']
2024-06-03,PM,Great Hall,141,4,Kimberly Jackson,no,[],"['Ronald Ortega', 'Martin Romero', 'Ray Ellison']","['Kathleen Mosley', 'Timothy Martin', 'Sharon Ruiz']"
2024-06-03,PM,Irene Manton North Cluster (7.96),9,1,Nicholas Day,no,[],[],['Peggy Conley']
2024-06-03,PM,Irene Manton South Cluster (7.90),4,1,Cody Ortiz,no,[],[],['Melanie Douglas']
2024-06-03,PM,Michael Sadler SR (1.19),1,1,William Booker,yes,[],[],['Meghan Morrison']
2024-06-03,PM,Michael Sadler SR (1.37),1,1,Charlene Rios,yes,[],[],['Alyssa Sanchez']
2024-06-03,PM,Michael Sadler SR (2.01),1,1,Richard Brock,yes,[],[],['David Fuentes']
2024-06-03,PM,Michael Sadler SR (B.37),7,2,Jessica Mckee,yes,['Michelle Dunn'],[],['Gina Lee']
2024-06-03,PM,Michael Sadler SR (B.49),3,1,Christina Williams,yes,[],[],['Nicole Martin']
2024-06-03,PM,Michael Sadler SR (LG.10),74,2,Dr. Danny Fields,no,[],['Sarah Nguyen'],"['Mary Brown', 'Nicholas Miller', 'Richard Palmer']"
2024-06-03,PM,Michael Sadler SR (LG.15),41,1,Jennifer Powers,no,[],[],"['Scott Johnston', 'April Wright', 'Dylan Wilson']"
2024-06-03,PM,Michael Sadler World Cinema Rm (B.36),8,2,Shane Stafford,yes,['Kimberly Cook'],[],['Dennis Johnson']
2024-06-03,PM,Newlyn SR (GR.01),51,1,Wayne Smith,no,[],[],"['Jackie Sandoval', 'Colleen Smith', 'Carlos Woods']"
2024-06-03,PM,Newlyn SR (GR.07),45,1,Paul Carroll,no,[],[],"['Cynthia Rivera', 'Shannon Gallegos', 'Benjamin Forbes']"
2024-06-03,PM,Parkinson SR (B.08),28,1,Kelsey Brown,no,[],[],['Dennis Nixon']
2024-06-03,PM,Parkinson SR (B.09),16,1,Mr. Ronald Smith,no,[],[],['James West']
2024-06-03,PM,Psychology Cluster (1.43),6,1,Ashley Brock,no,[],[],['Lauren Peters']
2024-06-03,PM,Psychology Cluster (1.45),24,1,Stacy Tate,no,[],[],['Lisa Jones']
2024-06-03,PM,Room UG09 (Great Hall Building),74,2,Wendy Zuniga,no,[],['James Cox DDS'],"['Lori Hopkins', 'Richard Anderson', 'Monica Davidson']"
2024-06-03,PM,Social Sciences SR (10.05),10,3,Nicholas Brown,yes,"['Alisha Gray', 'Kimberly Hurst']",[],['Abigail Stewart']
2024-06-03,PM,Social Sciences SR (10.06),9,3,Steven Murphy,yes,"['Tracey Armstrong', 'Mark Rivera']",[],['Mary Serrano']
2024-06-03,PM,Social Sciences SR (10.07),11,3,Tracy Young,yes,"['Krystal Galvan', 'Lori Martin']",[],['Justin Green']
2024-06-03,PM,Social Sciences SR (12.38),12,4,Bethany Johnson,yes,"['William Hoffman', 'Sharon Johnston', 'David Brooks']",[],['David Hayes']
2024-06-03,PM,Textiles Computer Cluster (G.34),4,1,Brad Guzman,yes,[],[],['Jennifer Singh']
2024-06-03,PM,The Edge (Sports Hall 1),447,14,Brandi Cooper,no,[],"['Mark Williams', 'Glenda Martinez DDS', 'Heather Ross', 'Kyle Washington', 'Jennifer Holder', 'Paula Woods', 'Henry Burns', 'Shannon Gallegos', 'Kevin Norris', 'Steven Reid', 'Juan Smith', 'Melissa Payne', 'Thomas Roberts']","['Michael Velez', 'Kathleen Shelton', 'Karen Webster']"
2024-06-03,PM,The Edge (Sports Hall 2),242,8,Alyssa Young,no,[],"['Casey Williams', 'Peggy Conley', 'Robert Torres', 'Dominique Mccoy', 'Jennifer Wilson', 'Matthew Evans', 'Valerie Jackson']","['Robert Johnson', 'William Young', 'Adam Lopez']"
2024-06-04,AM,Cohen Computer Cluster A&B (1.40),72,2,Ruben Cooper,no,[],['Amanda Jones'],"['Pedro Mcdaniel', 'Brittany Jackson', 'Ana Owens']"
2024-06-04,AM,EC Stoner Cluster (6.61),37,1,Curtis Brown,no,[],[],"['James Pennington', 'Dustin Brown', 'Elijah May']"
2024-06-04,AM,EC Stoner SR (7.70),15,5,Joshua Mills,yes,"['Willie Baker', 'Willie Wilson', 'Nicole Cohen', 'Jennifer Mcdonald']",[],['Dr. Robert Payne']
2024-06-04,AM,English SR 2 (LG.06) House 10 Cavendish Road,4,1,Rachael Berry,yes,[],[],['Daniel Garcia']
2024-06-04,AM,English SR 3 (LG.01) House 10 Cavendish Road,5,1,Anthony Powell,yes,[],[],['Tyler Fletcher']
2024-06-04,AM,English SR 4 (LG.02) House 10 Cavendish Road,4,1,Timothy Smith,yes,[],[],['Edgar Reeves']
2024-06-04,AM,English SR 7 (LG.05) House 5 Cavendish Road,4,1,Taylor Hernandez,yes,[],[],['Craig Harris']
2024-06-04,AM,Great Hall,152,5,Rebecca Wheeler,no,[],"['Ryan Stewart', 'Daniel Richards', 'Brittany Jackson', 'Leah Parker']","['Matthew Parker', 'Luis Logan', 'Matthew Perez']"
2024-06-04,AM,Michael Sadler SR (1.19),1,1,Stephanie Craig,yes,[],[],['Michael Harrison']
2024-06-04,AM,Psychology Cluster (1.43),19,1,Jeremiah Marshall,no,[],[],['Charles Wise']
2024-06-04,AM,Room UG09 (Great Hall Building),63,2,Jacqueline Diaz,no,[],['Nina Silva'],"['Mary Johnson DVM', 'Dustin Lee', 'Andrew Rodriguez']"
2024-06-04,AM,Social Sciences SR (10.06),7,2,April Thomas,yes,['Caitlyn Matthews'],[],['Samuel Fields']
2024-06-04,AM,Social Sciences SR (10.07),7,2,Christopher Levine,yes,['Nathan Carroll'],[],['Corey Price']
2024-06-04,AM,Textiles Computer Cluster (G.34),6,2,Deborah Mclaughlin,yes,['Christopher Mills'],[],['Tracey Orozco']
2024-06-04,AM,The Edge (Sports Hall 1),456,15,Aaron Powell,no,[],"['Timothy Lee', 'Edward Goodman', 'Scott Baker', 'Elizabeth Murphy', 'Jessica Carter', 'Rachel Caldwell', 'Rebecca Diaz', 'Jeffrey Taylor', 'Yolanda Obrien', 'Yolanda Wilson', 'Mark Watkins PhD', 'Christopher Mcfarland', 'Michael Hughes', 'Jennifer Hill']","['Margaret Aguirre', 'Lisa Jacobs', 'Nicholas Hudson']"
2024-06-04,AM,The Edge (Sports Hall 2),265,8,Cynthia Weber,no,[],"['Paul Martinez', 'Robert Johnson', 'Ricky Campbell', 'Karen Webster', 'Jennifer Joseph', 'Dan Orozco', 'Lisa Richmond']","['Stephanie Duncan', 'Ashley Green', 'Christina Thomas']"
2024-06-04,PM,English SR 4 (LG.02) House 10 Cavendish Road,1,1,Rebecca Kim,yes,[],[],['Shannon Duarte']
2024-06-04,PM,Chemical and Process Engineering Cluster (GR.06),75,2,Nathaniel Faulkner,no,[],['Vanessa Jones'],"['Mary White', 'Melissa Jones', 'Aimee Bailey']"
2024-06-04,PM,Chemistry Cluster (1.44),13,1,Katie Knight,no,[],[],['Nicholas Pennington']
2024-06-04,PM,Chemistry Cluster (1.44a),1,1,Chelsey Hunter,yes,[],[],['Monica Jackson']
2024-06-04,PM,Cohen Computer Cluster A&B (1.40),93,3,Donna Stephens,no,[],"['Nicole Johnson', 'Hannah Ball']","['Jeanne Martin', 'Joanne Pineda', 'Benjamin Rojas III']"
2024-06-04,PM,EC Stoner Cluster (6.61),1,1,Ricky Terry,no,[],[],['Matthew Hudson']
2024-06-04,PM,EC Stoner Cluster (6.68),1,1,Tonya Wells,no,[],[],['Alexandra Pittman']
2024-06-04,PM,EC Stoner SR (7.70),13,4,Lauren White,yes,"['Brittany Perez', 'Andrea Taylor', 'Gregory Morton']",[],['Christopher Goodwin']
2024-06-04,PM,Fourman O and P Cluster (8.49),89,2,Ronald Benjamin,no,[],['Derek Day'],"['Elizabeth Huynh', 'Sharon Oconnor', 'Gary Phillips']"
2024-06-04,PM,Irene Manton North Cluster (7.96),27,1,Morgan Kemp,no,[],[],['Matthew Vaughn']
